cbcl1,cbcl2,cbcl3,cbcl4,cbcl5,cons
cruelty_to_others,cruelty_to_others_7de6b1,cruelty_to_others_a355ba,cruelty_to_others_v4,cruelty_to_others_v4_v5,cruelty_to_others
child_daydreams,child_daydreams_900291,child_daydreams_d5a045,child_daydreams_v4,child_daydreams_v4_v5,child_daydreams
self_harm,self_harm_cd813c,self_harm_6adac4,self_harm_v4,self_harm_v4_v5,self_harm
demands_attention,demands_attention_2d0f8b,demands_attention_39fddc,demands_attention_v4,demands_attention_v4_v5,demands_attention
destroys_own_things,destroys_own_things_21f10a,destroys_own_things_0e0c1e,destroys_own_things_v4,destroys_own_things_v4_v5,destroys_own_things
destroys_others_things,destroys_others_things_320202,destroys_others_things_efa092,destroys_others_things_v4,destroys_others_things_v4_v5,destroys_others_things
disobedient_at_home,disobedient_at_home_4b3c09,disobedient_at_home_00ac39,disobedient_at_home_v4,disobedient_at_home_v4_v5,disobedient_at_home
disobedient_at_school,disobedient_at_school_eccbde,disobedient_at_school_7a10b1,disobedient_at_school_v4,disobedient_at_school_v4_v5,disobedient_at_school
doesnt_eat_well,doesnt_eat_well_785f60,doesnt_eat_well_b37787,doesnt_eat_well_v4,doesnt_eat_well_v4_v5,doesnt_eat_well
doesnt_get_along,doesnt_get_along_bec4b4,doesnt_get_along_df829b,doesnt_get_along_v4,doesnt_get_along_v4_v5,doesnt_get_along
guilty_after_misbehaving,guilty_after_misbehaving_d0efa3,guilty_after_misbehaving_285177,guilty_after_misbehaving_v4,guilty_after_misbehaving_v4_v5,guilty_after_misbehaving
easily_jealous,easily_jealous_d7d83f,easily_jealous_cf7920,easily_jealous_v4,easily_jealous_v4_v5,easily_jealous
breaks_rules,breaks_rules_a55b08,breaks_rules_8985af,breaks_rules_v4,breaks_rules_v4_v5,breaks_rules
fears_things,fears_things_5d6340,fears_things_f9794b,fears_things_v4,fears_things_v4_v5,fears_things
fears_things_cbcl_1,fears_cbcl_2,fears_things_cbcl3,fears_things_cbcl4,fears_things_cbcl5,fears_things_desc
fears_school,fears_school_ca806f,fears_school_27c3b5,fears_school_v4,fears_school_v4_v5,fears_school
fears_bad_action,fears_bad_action_878c8b,fears_bad_action_7975cd,fears_bad_action_v4,fears_bad_action_v4_v5,fears_bad_action
has_to_be_perfect,has_to_be_perfect_085550,has_to_be_perfect_f1d8fd,has_to_be_perfect_v4,has_to_be_perfect_v4_v5,has_to_be_perfect
feels_no_love,feels_no_love_4ce064,feels_no_love_dc4f83,feels_no_love_v4,feels_no_love_v4_v5,feels_no_love
out_to_get_them,out_to_get_them_9195d6,out_to_get_them_363255,out_to_get_them_v4,out_to_get_them_v4_v5,out_to_get_them
feels_worthless,feels_worthless_fc3e30,feels_worthless_a82076,feels_worthless_v4,feels_worthless_v4_v5,feels_worthless
gets_hurt,gets_hurt_f3ca10,gets_hurt_f3266b,gets_hurt_v4,gets_hurt_v4_v5,gets_hurt
fights_a_lot,fights_a_lot_a7ade6,fights_a_lot_1e15ea,fights_a_lot_v4,fights_a_lot_v4_v5,fights_a_lot
gets_teased,gets_teased_7f1d84,gets_teased_a0c407,gets_teased_v4,gets_teased_v4_v5,gets_teased
others_in_trouble,others_in_trouble_8d433a,others_in_trouble_630048,others_in_trouble_v4,others_in_trouble_v4_v5,others_in_trouble
auditory_hallucinations,auditory_hallucinations_44d65c,auditory_hallucinations_726022,auditory_hallucinations_v4,auditory_hallucinations_v4_v5,auditory_hallucinations
hears_voice_cbcl_1,hears_sounds_cbcl_2,hears_things_cbcl3,hears_things_cbcl4,hears_things_cbcl5,hears_voice
child_impulsive,child_impulsive_a22d06,child_impulsive_f0f74a,child_impulsive_v4,child_impulsive_v4_v5,child_impulsive
rather_be_alone,rather_be_alone_48a1a2,rather_be_alone_af1c8e,rather_be_alone_v4,rather_be_alone_v4_v5,rather_be_alone
lying_cheating,lying_cheating_19a65a,lying_cheating_fd15df,lying_cheating_v4,lying_cheating_v4_v5,lying_cheating
bites_fingernails,bites_fingernails_b96bf2,bites_fingernails_931573,bites_fingernails_v4,bites_fingernails_v4_v5,bites_fingernails
nervous_tense,nervous_tense_5337bc,nervous_tense_9aaa15,nervous_tense_v4,nervous_tense_v4_v5,nervous_tense
child_twitching,child_twitching_131230,child_twitching_d96f09,child_twitching_v4,child_twitching_v4_v5,child_twitching
nervous_mvmt_cbcl_1,nervous_mvmt_cbcl_2,nervous_mvmts_cbcl3,nervous_mvmt_cbcl4,nervous_mvmts_cbcl5,nervous_mvmt
child_nightmares,child_nightmares_a57c66,child_nightmares_5ec24c,child_nightmares_v4,child_nightmares_v4_v5,child_nightmares
not_liked,not_liked_b3aad6,not_liked_42f5c2,not_liked_v4,not_liked_v4_v5,not_liked
child_constipated,child_constipated_f4674e,child_constipated_60a726,child_constipated_v4,child_constipated_v4_v5,child_constipated
fearful_anxious,fearful_anxious_d2cf3b,fearful_anxious_4d6f79,fearful_anxious_v4,fearful_anxious_v4_v5,fearful_anxious
feels_dizzy,feels_dizzy_072655,feels_dizzy_ad864f,feels_dizzy_v4,feels_dizzy_v4_v5,feels_dizzy
child_overeats,child_overeats_6644dd,child_overeats_53b10e,child_overeats_v4,child_overeats_v4_v5,child_overeats
child_overtired,child_overtired_8a8cad,child_overtired_c0469f,child_overtired_v4,child_overtired_v4_v5,child_overtired
child_overweight,child_overweight_da94cf,child_overweight_760e81,child_overweight_v4,child_overweight_v4_v5,child_overweight
ache_pain,ache_pain_2d1bfc,ache_pain_009fbf,ache_pain_v4,ache_pain_v4_v5,ache_pain
