te_id,A_ES_R,A_E_R,A_CHK_I_R,A_N_R,A_CHK_O_R,A_M_R,A_ES_L,A_E_L,A_CHK_I_L,A_N_L,A_CHK_O_L,A_M_L
2E_055,0.053446986247602406,0.009812561559938081,0.05285946683847907,0.026896292950013945,0.07568385531223695,0.016822063081810827,0.046854672877586136,0.01104437746394038,0.04880360806037133,0.023966101611234962,0.06831394272426332,0.016730726030812687
2E_056,0.04347525418660287,0.009178752990430623,0.04537791566985646,0.0213572816985646,0.06781175239234447,0.012813995215311002,0.04418641596889952,0.010286146830143537,0.04647596441387559,0.02322256279904307,0.07352160586124404,0.013142942583732057
2E_057,0.05838105464089717,0.01007874015748032,0.04003817704605106,0.022630637079455965,0.07788594607492243,0.016184681460272014,0.058591028394178,0.010755189692197565,0.04161894535910284,0.02493796230016703,0.076383917919351,0.01590431877833453
2E_058,0.048397397796378264,0.005742143158493406,0.045024602525284285,0.017962990156658996,0.07017139021166796,0.011953960295649867,0.04901508317774655,0.005334237717967184,0.04481482258444224,0.022801914125415775,0.07751252269702415,0.012162574792376125
2E_059,0.04751870571329469,0.007905951142163418,0.04697735493781278,0.02023561766017539,0.06577102224864972,0.010864179178435162,0.052922303156434265,0.009283484465586446,0.047367573460185323,0.027440414251028195,0.0820821564838214,0.012297458005054256
2E_060,0.05151289879580974,0.009862783597589355,0.04043571031336184,0.023687988741218247,0.06967364287416727,0.013369803311806958,0.059129884574788044,0.009567694560147087,0.041245786469032666,0.02478464175055897,0.08453875313532103,0.014866528958449194
2E_061,0.05691864189622037,0.01033406885424823,0.04156049066362966,0.02322466604977817,0.061662751797280965,0.013054309915296469,0.0655799938311149,0.013165824376586706,0.04458680333119793,0.023833250290649376,0.07072626758725414,0.014209789546112411
2E_062,0.06970563220563221,0.010137103887103888,0.03855406980406979,0.020825458325458318,0.06557715932715938,0.013127638127638128,0.06352375102375103,0.008505008505008507,0.0420958545958546,0.023449804699804695,0.06840428715428717,0.013015419265419268
2E_063,0.04972281812196003,0.008106596433097567,0.046639479478629016,0.021500180539920553,0.07251155809491441,0.011181085080322568,0.04320037099183676,0.007646396635585483,0.04386766069822929,0.02120459066998009,0.07278767797342169,0.009970405613021534
2E_064,0.059130934822306504,0.009624332771456665,0.04530679344008989,0.021725532026970064,0.06619499754178959,0.01249407395701644,0.058556986585194544,0.009088794072201152,0.04714935384183172,0.025956068268015175,0.07007875052675937,0.01215607002387975
2E_065,0.04611831500950275,0.00818257271393173,0.045294344071017845,0.024986768349892954,0.07922149782279211,0.014648038107152317,0.04038059037217023,0.010260543219380755,0.041183510958212044,0.020454928188226227,0.07244027714292588,0.014190944739817647
2E_066,0.06171016626979154,0.013547280360947486,0.040818084973054274,0.02130853908175627,0.05849599991644734,0.015561682750553533,0.05828711826878891,0.012632117642143961,0.04149172828675271,0.0208685821113757,0.06258877470025487,0.015515989890128248
2E_067,0.05816484754203515,0.005262918646995537,0.03563834354433831,0.02031173449029995,0.07258231517912614,0.011546095995232056,0.054828803620403155,0.005656879927672751,0.035542378616993865,0.020723373520751154,0.06568799276727492,0.012000666703705759
2E_068,0.06163021868787275,0.0065210397366836335,0.042617737558054154,0.026234707934962832,0.07182630358925286,0.015562228290010978,0.052834445608506635,0.006042582678204632,0.0384477368156208,0.020126131179726635,0.05567012860595761,0.01389381553005618
2E_069,0.0653684558601842,0.0075203509010805195,0.04333501911088203,0.022862547534064036,0.07407047198529482,0.016380408671380364,0.05961817138522286,0.0071702278717382635,0.04276120636834888,0.02069372988008287,0.06351085867672944,0.0153081568940197
2E_070,0.05095749938225846,0.01177878675562145,0.04471985421299731,0.022949098097356083,0.07763621200889545,0.008663825055596744,0.050764455151964406,0.0131192858907833,0.04621787744007907,0.022626328144304417,0.08084846800098841,0.008983506300963678
2E_071,0.05774084599112062,0.005256802520359901,0.03976989005202328,0.02209400506614129,0.06788334256375801,0.01649446628473892,0.06004239942620049,0.006020582333875052,0.044547769717549,0.024454572691864223,0.07412522811254463,0.018015216582079663
2E_072,0.04465896296296297,0.00852859259259259,0.05580325925925927,0.027150222222222242,0.06955022222222222,0.015101629629629623,0.047567407407407405,0.00899911111111111,0.059100444444444435,0.031032888888888888,0.07929125925925926,0.016418370370370364
2E_073,0.051090007810627086,0.0073466294437441486,0.043889022073399266,0.02304134992382705,0.06327896827544964,0.011018655283257676,0.06193079732840465,0.0076791610922504645,0.05357626188027314,0.024688541578055997,0.07544859550489391,0.013583531176775387
2E_074,0.05829767865270825,0.007839098771051435,0.040319754210286766,0.022936959490213925,0.07920914883932634,0.01386663632225762,0.0588802913063268,0.008115612198452438,0.04279813381884387,0.024724624487938104,0.08270254893035957,0.014575557578516155
2E_075,0.05326910366566679,0.00823122680359957,0.05085159387869236,0.028463572118562205,0.07943464334739943,0.013772942193299099,0.04942294981951294,0.008391377294219331,0.045843713457725345,0.021116986120290816,0.07931516599725455,0.013188265798973005
2E_076,0.05387220819220564,0.011442229687922524,0.043369556748234284,0.022293212578431868,0.0654358955555657,0.01764115444374675,0.047890990590467634,0.011235980805103976,0.04098165301604618,0.02085176205295555,0.06411131939701993,0.016761159210387597
2E_080,0.05142490372272145,0.008880849574045977,0.04243202240634849,0.0223456646049714,0.0821659470183219,0.012034076321624461,0.05454312055082272,0.010204224530283582,0.04329326642548722,0.019460847240051343,0.08260473800910256,0.012353833586182757
2E_081,0.048904999099029525,0.008243879836280797,0.04905784230442505,0.027680708935052895,0.07304296342059877,0.01565918861173322,0.04694860606996679,0.008073338996576312,0.05584086287229389,0.028874494812984274,0.08571929621334981,0.016590727726722775
2E_082,0.055534318157642794,0.007645463248590579,0.04863179448994787,0.027487102435911077,0.08839485161153073,0.01683830177640676,0.04448496170620147,0.007023853845335603,0.04404784065524944,0.019682081693436868,0.06953382618870334,0.014297016274864379
2E_083,0.05699234281534269,0.00995669974161426,0.04098186580459431,0.022162181294760303,0.07515131493563953,0.014105029673065352,0.06051653550739172,0.009462345293014148,0.043189353091780035,0.024285899689701154,0.08084877945184467,0.014914402350248365
