te_id,P_EB_R,P_2,P_3,P_EB_E_R,P_5,P_6,P_7,P_8,P_9,P_EB_M_R,P_11,P_12,P_13,P_14,P_15,P_EB_C,P_17,P_18,P_19,P_EB_N_R,P_21,P_22,P_23,P_24,P_25,P_26,P_27,P_28,P_29,P_EB_L,P_31,P_32,P_EB_N_L,P_34,P_35,P_36,P_37,P_38,P_39,P_40,P_41,P_42,P_43,P_44,P_45,P_46,P_EB_E_L,P_48,P_49,P_EB_M_L,P_51,P_52,P_53,P_54,P_E_R,P_56,P_57,P_58,P_59,P_E_M_R,P_61,P_62,P_63,P_64,P_65,P_66,P_67,P_68,P_NT_E_R,P_70,P_71,P_72,P_73,P_74,P_75,P_76,P_77,P_N_V,P_79,P_80,P_81,P_82,P_83,P_84,P_E_L,P_NT_E_L,P_87,P_88,P_89,P_90,P_91,P_92,P_93,P_94,P_E_M_L,P_96,P_97,P_98,P_99,P_100,P_101,P_102,P_103,P_104,P_105,P_M_H,P_107,P_108,P_109,P_110,P_111,P_112,P_113,P_114,P_N_H,P_116,P_117,P_118,P_119,P_M_V
2E_069,0.3228636809916829,0.4770879755798291,0.8240817982724125,0.14365750348992123,0.2961796630160009,0.4046612055201576,0.5566615189511773,0.7291399638337747,0.5882770342242106,0.6373938003874627,0.8324047889639216,0.5122635561078571,0.6455390736732428,0.6669975120276581,0.7740105382140073,0.1552676567472579,0.5071192783103138,0.2755679961205208,0.18905069462439053,0.161409690639967,0.28689989564828244,0.4322592704458814,0.4937250459196153,0.6570456362945857,0.6987752404281773,0.4694526247256549,0.49916025667397923,0.5951413982247689,0.7213109372276442,0.3530507597525899,0.41313136326344485,0.2779708377788568,0.16599631274015908,0.19583826197808868,0.2946951247120516,0.49722250615684843,0.7001690130949949,0.6594320237908355,0.5040311554416849,0.4708974799305539,0.59897798199062,0.7246046944083354,0.7390757128771112,0.574936892493688,0.4412101392616459,0.3145393355557753,0.153476522015633,0.6184938625375402,0.8559954490791554,0.6519652117450413,0.6778130997524818,0.538093338017445,0.6970094418648707,0.7994994000193972,0.1731648913440904,0.3004703190268264,0.4476195542913147,0.6271850688444482,0.44465428686961395,0.5056836436406668,0.6890229162291199,0.369557206840798,0.504078444568349,0.5240174672489083,0.6332216524590729,0.13395512358234035,0.27532569284883984,0.45603927017915763,0.3321361898656142,0.470289660883748,0.5624888100647901,0.289018977336598,0.36541895928952783,0.4281369334307331,0.5509499883532827,0.15204096383016313,0.327518194970081,0.3452268187956745,0.5360073014037584,0.5384653103481349,0.3405133662659742,0.33972844925475815,0.4478591209136012,0.5746507541582024,0.18162999426275472,0.34031030251866196,0.5681934241799403,0.4685174389567441,0.3778302109080521,0.2905899453727013,0.435703052917137,0.5560960061564519,0.46514750081797684,0.7027617434096913,0.5104923028398645,0.5268346760069317,0.3851530859795816,0.543948648272812,0.6486002548366513,0.2377607954208042,0.24551428466149516,0.09943491298459127,0.10114615564978571,0.10264331243269141,0.2294239363611953,0.3605860657143604,0.19626379960038629,0.3284411824711575,0.18246796869673518,0.18712440053332605,0.3355491021849368,0.2002315549014913,0.19648228865269243,0.19868995633187772,0.19670053501406473,0.15488338734470047,0.26692083924893206,0.15895436439477117,0.2686299476577908,0.12680684363084366
2E_060,0.37564308848483924,0.5364876897145439,0.8689614253835352,0.1478831579765602,0.3209550632506169,0.45690814359159776,0.5854824186231891,0.7581980485686067,0.6062265906671003,0.6094090594114031,0.8393611327952146,0.5087846638115269,0.6763399379181587,0.6801948069029151,0.7545583514702934,0.16265023225138783,0.49802352668883426,0.2740437072251851,0.15478403345299296,0.14083712184473388,0.24905983952575203,0.40128384306601983,0.461113411257026,0.6252277101969984,0.6526366437220379,0.43620934938418376,0.46788538369690885,0.5643633267830062,0.6594184873408129,0.33549141764979434,0.423249800510222,0.26324162732646234,0.1365937745861103,0.1393066418306606,0.2477795214683558,0.4545372287476058,0.6722263138641429,0.5980224437257438,0.4723062372210792,0.4217862308721079,0.5577388795386155,0.6527005168203625,0.7459006649162914,0.5703559390212407,0.42402399519867884,0.30755678414668663,0.14118599471776022,0.5892687117723454,0.8517044291358131,0.604786512158517,0.666433189103872,0.4973910029447388,0.6674896040663787,0.7447534715224466,0.1806569294130113,0.3242383200108789,0.45088566827697263,0.6268836745922197,0.4624180541340443,0.499064479482552,0.6945058002703749,0.3720924699100934,0.5289025506446843,0.5418265456470331,0.6213490465521351,0.14634540948586724,0.27073326968891764,0.4474135551494171,0.3449423498979389,0.4751066161952587,0.5622381789626033,0.29481918006175223,0.3828770261525238,0.44202237858774546,0.5335892917240795,0.12864950462330063,0.30278263192541605,0.33816701378392516,0.5388326982383081,0.5148470217921871,0.33987854480289215,0.3305859734024067,0.4427459757498582,0.5386188714764537,0.17720984790634678,0.33924293562664043,0.5810724118428331,0.46069788795896155,0.38362165306529156,0.28931066520525683,0.4380948101028023,0.5305859395142415,0.4502689568134919,0.7114862601387505,0.4897173570106502,0.5252511186673692,0.3633699261590233,0.5324958659451494,0.6137505414995996,0.26451819214630073,0.23360608795080354,0.1201897662202089,0.11188167946880219,0.10457921932074248,0.20045194833589886,0.39872111947810013,0.20010921243356738,0.3701509254540706,0.21910850738023996,0.21727304133569075,0.3443317258719487,0.18476091254001795,0.18940943794069237,0.19456314887269863,0.22748049644682136,0.1715455580658215,0.24988872208451154,0.17015001096365026,0.25134822221576203,0.09587292481484783
2E_067,0.32989308652288657,0.4843956882073473,0.8219618246121293,0.1494579220601405,0.29217873719721865,0.4089241184357483,0.5566084034409604,0.7222565794308357,0.5512214249220411,0.6003213271537725,0.8035514495699588,0.47029442760025797,0.6105062206088688,0.6306668308561805,0.7083942184995095,0.15460948852298512,0.4958405752228428,0.27283101055417663,0.16030995880287657,0.1226952866626435,0.26313017013086765,0.41236586907143713,0.42054400982482254,0.6025012395012593,0.6393741951943004,0.39252861889986373,0.4269993904413522,0.5288654545100652,0.6197918675664428,0.3437500752328279,0.41470833968937376,0.26578650350568617,0.131245679729105,0.17050623653447936,0.27872925412368915,0.43175707405702585,0.6565333322303084,0.603537948038899,0.43832008038623094,0.4029313260246691,0.5403008423752993,0.6287053529804677,0.7307959925135773,0.5627934244329313,0.4208060670676003,0.29643165268734634,0.14873284335781892,0.5614363132280633,0.8135963687152571,0.5904483416545948,0.6220460362853981,0.4788526136380621,0.6405199980080546,0.7055086490137137,0.17054163488464322,0.31015008426259383,0.44630076221944154,0.6152032234892395,0.4026395227835265,0.46221249973785067,0.6549628520516161,0.3208477796244437,0.4659809927644285,0.48133800507120805,0.5600191883518191,0.1453300174653174,0.2757632492202941,0.4446777529084494,0.29585084352980556,0.44649041788343397,0.5389631794682235,0.24571505748877284,0.33229660962954044,0.3967294372992884,0.48572846649872764,0.15014293485296637,0.31334169498210296,0.3183034113948136,0.5295092532803889,0.5216200694692271,0.31168162783598413,0.3105321148252789,0.42818125757958103,0.5186521831793812,0.16893411018508656,0.3021273097550748,0.549084336741237,0.43787113647052406,0.34029898114019547,0.24924143795951229,0.40269916390016164,0.4854404175845854,0.4128307181230295,0.6648843893989391,0.45739788690737765,0.47587339344457047,0.3305292720714173,0.4926025374839849,0.560035935789875,0.25253404977992905,0.2523507823756299,0.09632787539171218,0.09671348491786176,0.10987835789642593,0.20050104107030056,0.3643326029796804,0.2182281249559639,0.3381555989864302,0.18950484630571446,0.1869565217391304,0.3397430732557477,0.2125145386595779,0.1973155202663722,0.1809893620786367,0.18807721212079329,0.16100420894440134,0.2445737744668395,0.16252903265514898,0.23798433502952293,0.09096722340301984
2E_083,0.3509045368616168,0.5094991075891344,0.829894737037565,0.13092375063942663,0.29542305760715865,0.4207909443759813,0.5546764988702287,0.7330260880336219,0.5797823061361528,0.6186445423818739,0.8258404171439379,0.49643042083822175,0.6416767074882932,0.6625142489233858,0.7531477483835699,0.16367482695825913,0.5037852755081673,0.29370231410911835,0.18842408076335734,0.1526990805183795,0.276250371624257,0.42930310321683546,0.49706178081372954,0.6751338476221874,0.7119573493606566,0.47261496232040373,0.5031978254421806,0.6113675442570637,0.7234886696553898,0.34439541825011455,0.43399004935154484,0.28039426051732974,0.1490653911094408,0.18052131946008312,0.2858141670370793,0.4907574872145411,0.7142260407846766,0.6644923427269759,0.5008210120325478,0.4641826711771514,0.6061163755461423,0.7182985813278495,0.7301711580316846,0.5516255805690352,0.41089672279093276,0.2901898078411606,0.12334546332192937,0.5558530424741229,0.8161404718007892,0.5987100204713229,0.6243169183816062,0.4736304357011201,0.6427995525944379,0.7336146499409216,0.18014309722494637,0.32012457474354084,0.4455390164210947,0.6255023656475014,0.4493957597065353,0.5086386339425166,0.695516289978811,0.368872391929765,0.5109372269250331,0.5352129551190258,0.6295938788941607,0.1458250080734438,0.26543757542303303,0.4454055915252926,0.3402338985967805,0.48937206141390543,0.5768902965307424,0.29481574099041735,0.374339585454808,0.44753497696901495,0.5560865148357836,0.13818580750605497,0.31277393728600844,0.3603334155030333,0.5689133063135945,0.5625817552115465,0.35671077417241587,0.35439231787303643,0.4764514753589938,0.5894674315550961,0.17996833633255235,0.33402982877355564,0.5802036405780079,0.4855367378689569,0.37024779621525367,0.29060272344742893,0.44482583774205564,0.5540994653675921,0.4343109706310781,0.6944320574168299,0.4996751417645978,0.5009976431190992,0.35581305717411915,0.5253713782820999,0.620657145934365,0.26028799018282217,0.24612175957245622,0.10386298780719361,0.09915843711395812,0.11618540755531337,0.22918423877349706,0.36584576285445813,0.21364735905321866,0.349128267161251,0.19717064185847274,0.1942997328039704,0.3365151947233672,0.20877204920386816,0.18715523204145065,0.18724878092359437,0.19940614445598065,0.16634177001250974,0.2656485450945757,0.16956348649370698,0.26926228229568205,0.11301688351158592
2E_052,0.37055816019945226,0.542222851298734,0.8985108818987181,0.13529189734097238,0.3328957360339657,0.4721747764335338,0.6163646251692002,0.8073722487805504,0.7087198011914241,0.6509734690057473,0.894286281220815,0.5933239354062794,0.7510414953778859,0.7789423228289029,0.8609074158966821,0.17167381974248924,0.5279532102021917,0.28199111061297977,0.1302496715758564,0.13011574303957357,0.26396290114571436,0.4421569510630359,0.5482578475526496,0.615169230285046,0.6669564193792965,0.4833063188720694,0.5262994044741582,0.6366223480067658,0.7383123019730503,0.3563064764780028,0.44870499743444514,0.2589733723765415,0.12233279702410922,0.1399077643549556,0.2785949888879071,0.550046780521496,0.6731235618602553,0.6132398370835888,0.5233194643056367,0.4890488636006973,0.6385483581377339,0.7419624228908026,0.8005682662737126,0.597793620017772,0.44449113314476146,0.31901996552938955,0.1395303564399701,0.697409384994424,0.8870561127071928,0.6420245319750125,0.7335652842477468,0.5841831705410685,0.7689048165912313,0.8593623089988752,0.21113091808266626,0.3605973305265188,0.5024406277052423,0.6984733891013782,0.5755627807045541,0.5341371586768837,0.7590427503929983,0.46306756405243227,0.615751986354433,0.6481181640154261,0.7333207668595245,0.15339640056147336,0.2920447330793469,0.48935772269324956,0.44924748643434287,0.4906047422836486,0.597440409099306,0.3678325376654626,0.4523466929448702,0.5345067909867591,0.6329476219630442,0.14424013074244907,0.33790985279158553,0.4500685000276323,0.5552962329826965,0.5458669576380518,0.4087846876300903,0.40953359872450606,0.5394448965840221,0.6428852141955914,0.1984384586576818,0.4428010626718321,0.5977164357259365,0.4792106767081602,0.44269565829203494,0.3638575769973897,0.5280664760615652,0.62973219980411,0.5585645062931358,0.7477526964129334,0.516361652224075,0.5946041219513368,0.4476586298510626,0.631601809870326,0.7239850466382939,0.21967778016169506,0.21459412641568207,0.12673981399069476,0.1278142589190025,0.08937970883471465,0.1928641737541274,0.41774246970885015,0.15525800331452977,0.34638244856785605,0.2125463146631196,0.24219761616327817,0.33957619059432864,0.1453413614386718,0.20949485485500705,0.2534269154474456,0.22755129471800734,0.18566946200547943,0.272346673769039,0.18519146695961775,0.27681747821025393,0.10359198459477265
2E_055,0.34252715492685637,0.49017593798001663,0.8700569014774931,0.1303460974028823,0.3053012724740298,0.41975241905995453,0.5694190476713505,0.7549416070250436,0.6192936005869327,0.6470222288579159,0.8471040523862824,0.5378396694233308,0.6683202083179635,0.6930494870651567,0.7925372743713927,0.14768407968137917,0.5289772718997934,0.26401300793199245,0.13469452351515773,0.12146453755304382,0.2511858342702806,0.4224246351990219,0.4901995631321155,0.6368262781925489,0.6738468045358552,0.4533648954309259,0.4822727439553696,0.580587572697022,0.7033145958283497,0.3821561974557219,0.4051010427568418,0.23925354453560785,0.12944161853823488,0.14782356134483898,0.28467269033353176,0.4971577968503176,0.6837456022175751,0.6386960629334408,0.488208794828089,0.45731750306463503,0.5858748427005794,0.7099831497346556,0.7740029425751508,0.5897887292973273,0.4626968312075264,0.32430091790124976,0.14476506697698296,0.6476898364154041,0.8764611880568509,0.6557942131305435,0.6933460350907469,0.5537135873706062,0.7106263837603293,0.8137273450753731,0.18888463234748237,0.3128758079755331,0.4606502393583852,0.649999300541868,0.49074110472429927,0.5370723572683899,0.717425109449922,0.4120684451278478,0.5379741200011485,0.566844635461257,0.6704976343892153,0.12718838641888955,0.27223184087363733,0.46215965442620094,0.3821796401146374,0.5067837092674222,0.5877708971300863,0.33120790027709385,0.3971401009046131,0.4702642482377117,0.5893784171495399,0.1496750930100258,0.33735921757495535,0.3866633852979301,0.5590371296281865,0.5564928817713131,0.3657489029697131,0.36629072202539076,0.4771044278777872,0.6013177698860326,0.19029749425845477,0.3907745653759458,0.6016317965199743,0.5012608439160032,0.40608626583691354,0.330445459898082,0.4738065552793278,0.5949523995409365,0.5063089470210448,0.7339011115696729,0.5375057044080346,0.5489921490588996,0.41633680816885266,0.5732633509180075,0.6813324592423531,0.22999012498680443,0.23121067103284998,0.09481322891906309,0.10702314597556414,0.09061529111894139,0.21465476378106682,0.36614619844504764,0.19684760858914846,0.3328559303323974,0.19394589720735528,0.19499273666321093,0.32309436887864434,0.19210644053416764,0.18548469144009122,0.20026172641924922,0.19053790783821348,0.1552265397629211,0.26245470563398954,0.15705343734863186,0.268892302233759,0.12438625204582654
2E_031,0.3350219967504512,0.4913491110955225,0.8089659961227089,0.1478117907815099,0.29672798731658195,0.4216018114565027,0.5469755952549796,0.7016797280499796,0.6077262643301732,0.6365128808212835,0.8264575211360791,0.5267704272671709,0.649268817324843,0.6909609311459136,0.769327517857976,0.15678147844205179,0.4812860121187603,0.24805299174993384,0.14576463414018276,0.1368320254991195,0.24767538045146156,0.3873994854940697,0.4825019072102959,0.6275822431414666,0.6743498178923235,0.44319202945552594,0.47791973800121773,0.5916059939764353,0.6876088825664657,0.328265916850156,0.3924252309425296,0.25154465190767333,0.13454745527481765,0.15073175093587396,0.24956183901693738,0.4818449626844752,0.6692405250295106,0.6375163960002831,0.4720103269049385,0.44936708860759494,0.5919655805290872,0.6887296651980502,0.6908243112158634,0.5312932967498111,0.39383674065960567,0.2778957674991492,0.13006024338790262,0.5532006930638076,0.7791688763765455,0.5973025396634091,0.5973605567338303,0.47765945494009515,0.6381660928499306,0.7187806113481193,0.16143939477581462,0.2970489332351487,0.4186913367949357,0.5754796282675573,0.4625577228062854,0.5142782930126509,0.6809367649686402,0.38492640776849235,0.5016421439914729,0.5503221063049776,0.6329361559832248,0.13810749116423068,0.25737086851142427,0.414215034695299,0.3671643704293869,0.4872949434189608,0.5755878048640203,0.312441532304077,0.3830163353746604,0.4709180229018927,0.5639244940687533,0.125657857753917,0.28038734154154565,0.3650113729354841,0.5387386489599063,0.543966209953706,0.34337924059866193,0.34848025405182687,0.4758380324301518,0.5729709972163836,0.15685598160179495,0.3532547712458534,0.5607490399677401,0.4900564430871012,0.3640144992438384,0.3078481444001416,0.4598282479325586,0.554738866231578,0.4304562318248123,0.654750909046438,0.5019599922681949,0.46928874573561524,0.35998801591359186,0.521827328789354,0.6075357728503309,0.22658389469967277,0.2187610005838926,0.09209554223157775,0.08655070052059556,0.1108664431163669,0.2080339062272446,0.3266291380903533,0.1980723988770905,0.30856934172036354,0.17427025997111315,0.17888817597551038,0.3046125785415303,0.19644542284580138,0.1622457758571617,0.1668978453812576,0.16866304586744738,0.16557793856472516,0.2532194912269579,0.1618529017789517,0.25080417942379335,0.09716845756039366
2E_036,0.3863770948407237,0.5307659209965889,0.8781503567382319,0.12207053796777434,0.32078174121102027,0.4589506892649683,0.5937189175790555,0.7806935945780565,0.6495462255791525,0.6022523748227087,0.8537624291573918,0.5403155397871391,0.7109038548448742,0.7196811744840169,0.8183253919967824,0.14606434449746805,0.49817915224229725,0.29711901150285197,0.15093104386771355,0.12924846577171187,0.24410768423272608,0.4111305221610299,0.5132213039257536,0.6247761946316495,0.6533132844296072,0.4758442875573291,0.5071999315076817,0.6069913442344459,0.727837577889451,0.3525495871758404,0.43441361990097227,0.25212540439360487,0.12430813230800908,0.13893662185767988,0.27115555047645873,0.5047508006761916,0.6689219146187089,0.5992573472395677,0.5049553395210415,0.4652272980244162,0.5985933390772529,0.7189926546662997,0.7731609313938357,0.5730760385785232,0.42581545179373165,0.3001803726061251,0.11576104028234914,0.6141041694613307,0.8489434223999859,0.5784474111530538,0.6844473611549102,0.5139600129220876,0.6862574835843935,0.7844368489226353,0.2046073170952868,0.34859809800703273,0.4817080910071323,0.6712738639375069,0.5330961339516821,0.512275726074305,0.7340335667491275,0.4302062208797464,0.5900084234304144,0.6073732531087882,0.7110247170829838,0.14739664158810606,0.27780749101661434,0.4682726209494998,0.404483887354448,0.4804679326954355,0.577628354351138,0.3423259353937022,0.4285299971822801,0.49369736784245344,0.6111269825993312,0.1349998084780051,0.3227410490502581,0.40009772418450723,0.5468852198924911,0.5260150777965654,0.38538293540901336,0.3816873276638011,0.4947250109884956,0.6160971002773157,0.1910301029670597,0.39516326113489947,0.5924982121480027,0.46456955257666016,0.4238744958086527,0.33756532913955223,0.48560160864871116,0.6029234436835262,0.5046119348399253,0.7353019041010824,0.49192266832481985,0.5698473206209713,0.41039319938869906,0.5810074642073716,0.684479164144874,0.2503702465867813,0.21571038350433483,0.13022833597676614,0.11809279294805444,0.09463021440055847,0.21600005212018136,0.42869319891900154,0.1686736178928707,0.3681647216827111,0.2306655066655801,0.26162801651796624,0.34513311212530456,0.1492109944614175,0.1980833489027241,0.23470695923421678,0.23791456351370271,0.1801432863393212,0.281387829152325,0.17259685285664306,0.2752272175290917,0.12138166460236562
2E_038,0.38034139298959135,0.5219940229698548,0.8999921697607596,0.12030294296115542,0.30652773440590764,0.4547112746567112,0.6007325307728473,0.7931098593598558,0.5977950678085486,0.5674149070585176,0.872677506997252,0.4887525116640498,0.6745530350136696,0.6604742538085565,0.8088621870464282,0.14262373416617308,0.5262298709613779,0.2935587482880633,0.1394892277431553,0.11231223048389993,0.2519396269796551,0.43001665740726713,0.4407433907620925,0.5920603062730216,0.6565063329632524,0.40371914618904414,0.4494500798785873,0.5262659596423727,0.7145316068573078,0.38473212639377524,0.4290297085242543,0.24857164226601167,0.10491919563989067,0.14543118848813222,0.2954324524407167,0.4365953008625021,0.6433964489148872,0.5988030224439584,0.4399574121257486,0.40681983529891036,0.5209603315493516,0.7095357145980605,0.7969147731222814,0.6032595163058562,0.44697712158294384,0.3108005589218253,0.12558472085352076,0.578259880660399,0.8490584167109035,0.5506647610148028,0.6573190259292508,0.47427920931469253,0.63275673187665,0.779016088454886,0.19485271070691437,0.3500036222667153,0.4917098566466404,0.685488377945598,0.47989972983417356,0.47726273172173783,0.7534588781659473,0.3749481095854994,0.5543446397773769,0.5455910251757806,0.7015914114541805,0.15783231628856234,0.29685825606138905,0.4906800167060847,0.3550770591451379,0.4621730529027745,0.6066396242648253,0.2888258095322464,0.3981467359853921,0.4357585935345728,0.6166313001830487,0.14865950057718044,0.3385569486581866,0.35090686658506504,0.5410321197350472,0.547948799591473,0.3395915682291018,0.3435588484905994,0.43677830744522617,0.6264999636760897,0.19398542237388294,0.33773922008380336,0.5823717684685211,0.45923626071672696,0.37819452418237437,0.2802634570396138,0.4155364771679856,0.5975703300579714,0.45581361473409004,0.7249836370678252,0.46109699859264613,0.5318836385076368,0.35669493025285665,0.5145150782698147,0.6701921196420572,0.2735394801947207,0.2776837199799012,0.12376453468051175,0.11900179211290243,0.0859872611464968,0.27563718486896344,0.4762900695097505,0.20562506997946034,0.3892181087591533,0.24780123682066835,0.2819999337352492,0.3983507943061985,0.20951700503926826,0.24013593839877853,0.26723328367206145,0.2351526461668996,0.17192320565354932,0.3332104298459036,0.1584778147089855,0.32208644465523306,0.1897222171944375
2E_044,0.3640105092791644,0.5320484658291907,0.8344688290839953,0.14727037740354898,0.3052772771918431,0.4406810791092522,0.581820715985945,0.7562558961211555,0.6083671363941486,0.6298817840907824,0.8315954560619606,0.5244519388393071,0.6556713388889561,0.689318007051082,0.7644413966592496,0.16813398480495317,0.47619571307930914,0.29311012282875504,0.1660433878427896,0.13234008596490904,0.26432874915928656,0.4192188841092078,0.4944190025473024,0.6478563374083482,0.6801094444281601,0.46198300542637555,0.4847274150811003,0.6049789782989148,0.6972857896670255,0.31295448611664634,0.45101492287279554,0.29121269870792543,0.1541974262755774,0.1809467319824887,0.28182490196921467,0.5187353329750488,0.7150768503727597,0.6611497587117365,0.5178859372902281,0.47734561882832793,0.6298750188520356,0.7216423014927329,0.7332250913230215,0.5555188109435568,0.4023586146208074,0.2861303106165027,0.14184710734479244,0.6081489644372133,0.8414475549682234,0.6465574474518644,0.6555834349795623,0.5254257771938767,0.6985224584028367,0.7757196630731659,0.1800703314416355,0.33093689746903976,0.46305998209974253,0.6398866363331663,0.4615469767707916,0.5013159097545643,0.6845530315646353,0.3796924380956428,0.5088089117972188,0.5453359684113618,0.6234127390091221,0.15395288683841854,0.2830540013771345,0.45984481005108263,0.3654403092160571,0.48872423447612695,0.5744048149961242,0.3133396245174902,0.38251049422583405,0.46963598096942427,0.5591621936595675,0.14403261445616714,0.315660974292307,0.38318933797897803,0.5650545520288177,0.554142501310824,0.3695099725771413,0.3603484133492106,0.4952865378448997,0.5880597724153278,0.1768550068589978,0.3648830107416921,0.5838903152703846,0.483330792187784,0.3885599729116014,0.30741219083300514,0.4713192515577611,0.5601692616473308,0.4672063394466284,0.70135140524242,0.5105122487114612,0.5186672407278795,0.3835889632544419,0.5566760828875859,0.634332693883609,0.2354607946561078,0.2235799159998337,0.09778913305565484,0.0967181317437524,0.11211389749368232,0.2048705802262854,0.3505101628299442,0.19777041901749562,0.32817835026068287,0.18164294226859523,0.18640260629566696,0.31509184936319734,0.19566350862288964,0.17623591170046107,0.18198334762953228,0.18489332545661125,0.1659116883000456,0.24918903826498826,0.1732802158965602,0.2558560331590874,0.09279743306184418
